OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SHAPE_Length,SHAPE_Area
30,47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860, ,A,1404654388,86645833,+35.1634720,-085.2018432,1.98871731200591,0.147573144833735
65,47,115,01639770,47115,Marion,Marion County,06,H1,G4020,174,16860, ,A,1290468301,36484703,+35.1334215,-085.6183990,1.6313058231546,0.131228181426278
68,47,185,01639800,47185,White,White County,06,H1,G4020, , , ,A,975592113,7113369,+35.9270486,-085.4557854,1.87046340954659,0.0981368489552335
129,47,129,01639778,47129,Morgan,Morgan County,06,H1,G4020,314,28940, ,A,1352439680,823018,+36.1386970,-084.6392616,1.90603202999328,0.135494347799496
182,47,013,01639728,47013,Campbell,Campbell County,06,H1,G4020,314,28940, ,A,1243615770,46494677,+36.4015922,-084.1592495,2.05402999627188,0.129608375402292
188,47,123,01639776,47123,Monroe,Monroe County,06,H1,G4020, , , ,A,1646462896,43728871,+35.4478181,-084.2497050,2.6072322369922,0.167787067020344
251,47,149,01639787,47149,Rutherford,Rutherford County,06,H1,G4020,400,34980, ,A,1603845509,12453819,+35.8433688,-086.4172127,2.51151811693132,0.161242695139581
268,47,159,01639791,47159,Smith,Smith County,06,H1,G4020,400,34980, ,A,814020540,28690306,+36.2566451,-085.9419149,1.59973926379069,0.0844981029816675
276,47,169,01648581,47169,Trousdale,Trousdale County,06,H6,G4020,400,34980, ,C,296143584,5960709,+36.3930297,-086.1566909,0.997603344808541,0.0303458653140222
315,47,165,01639794,47165,Sumner,Sumner County,06,H1,G4020,400,34980, ,A,1371149049,35775803,+36.4734430,-086.4597975,1.97192812686668,0.141461886852387
321,47,061,01639748,47061,Grundy,Grundy County,06,H1,G4020, , , ,A,933548206,1753031,+35.3933855,-085.7103793,1.46980484589324,0.0927867808947234
352,47,003,01639723,47003,Bedford,Bedford County,06,H1,G4020,400,43180, ,A,1226719775,2980755,+35.5136604,-086.4582939,1.85355869081037,0.122179700773612
353,47,027,01648573,47027,Clay,Clay County,06,H1,G4020, , , ,A,612626304,59071215,+36.5457493,-085.5457173,1.58334411975407,0.0676071343150788
355,47,097,01639763,47097,Lauderdale,Lauderdale County,06,H1,G4020, , , ,A,1222389174,92231158,+35.7629507,-089.6277318,2.86158125271415,0.131014592054451
364,47,105,01639767,47105,Loudon,Loudon County,06,H1,G4020,314,28940, ,A,593811785,46869993,+35.7350854,-084.3140848,1.91660441641453,0.063829410884479
412,47,041,01639738,47041,DeKalb,DeKalb County,06,H1,G4020, , , ,A,788354548,63715774,+35.9822191,-085.8335959,1.75135253639792,0.085147719801897
528,47,081,01639756,47081,Hickman,Hickman County,06,H1,G4020,400,34980, ,A,1586324709,373710,+35.8023275,-087.4671159,1.86503314951938,0.158212362534751
535,47,141,01639783,47141,Putnam,Putnam County,06,H1,G4020, ,18260, ,A,1038860582,3777708,+36.1409404,-085.4961801,2.50687735810633,0.104400815739374
564,47,177,01639796,47177,Warren,Warren County,06,H1,G4020, ,32660, ,A,1120619143,3524884,+35.6782498,-085.7773428,1.62523502092975,0.111918133757928
567,47,095,01639762,47095,Lake,Lake County,06,H1,G4020, , , ,A,429381244,72799687,+36.3339054,-089.4855365,1.48799442608259,0.0504072277669237
619,47,089,01639759,47089,Jefferson,Jefferson County,06,H1,G4020,314,34100, ,A,712051940,102023536,+36.0483379,-083.4411426,1.77579510693429,0.0814230028961005
650,47,075,01639753,47075,Haywood,Haywood County,06,H1,G4020,297,15140, ,A,1380741546,2472509,+35.5866782,-089.2826913,1.72540606919675,0.137549373756023
695,47,099,01639764,47099,Lawrence,Lawrence County,06,H1,G4020,400,29980, ,A,1598348832,2228678,+35.2204764,-087.3965460,1.89916422187801,0.158456526242207
734,47,073,01639752,47073,Hawkins,Hawkins County,06,H1,G4020,304,28700, ,A,1261465148,32544793,+36.4520892,-082.9314850,2.19941916390904,0.130062034104014
775,47,173,01648583,47173,Union,Union County,06,H1,G4020,314,28940, ,A,579055049,61028042,+36.2841401,-083.8360878,1.37862685672113,0.0642108711550613
793,47,009,01639726,47009,Blount,Blount County,06,H1,G4020,314,28940, ,A,1447329095,20166379,+35.6881849,-083.9229731,2.24161223405829,0.146117041961229
846,47,023,01639732,47023,Chester,Chester County,06,H1,G4020,297,27180, ,A,740053450,575590,+35.4202530,-088.6113533,1.56573450525292,0.073504166892757
854,47,087,01639758,47087,Jackson,Jackson County,06,H1,G4020, ,18260, ,A,799368962,28196490,+36.3542499,-085.6741278,1.42697743761812,0.0830931337820521
929,47,127,01648579,47127,Moore,Moore County,06,H6,G4020, ,46100, ,C,334684859,3093435,+35.2888885,-086.3586840,1.63419951714394,0.0334671475265408
975,47,163,01639793,47163,Sullivan,Sullivan County,06,H1,G4020,304,28700, ,A,1070695045,42239171,+36.5096806,-082.3013363,2.21887682195065,0.111963713217643
988,47,019,01639730,47019,Carter,Carter County,06,H1,G4020,304,27740, ,A,883854964,16670132,+36.2847441,-082.1265932,1.66554744407884,0.0903430576634758
991,47,179,01639797,47179,Washington,Washington County,06,H1,G4020,304,27740, ,A,845605990,8635315,+36.2956649,-082.4950374,1.54126363993219,0.0857003585346173
1023,47,161,01639792,47161,Stewart,Stewart County,06,H1,G4020, , , ,A,1190814527,86082696,+36.4584642,-087.8118894,1.52133649104684,0.128439610132126
1042,47,111,01639768,47111,Macon,Macon County,06,H1,G4020,400,34980, ,A,795498350,246690,+36.5377572,-086.0009596,1.25104905186155,0.0800731887890992
